Exercise ID,Name,GIF URL,Instructions,Target Muscles,Body Parts,Equipments,Secondary Muscles
hxyTtWj,dumbbell seated lateral raise,https://cdn-exercisedb.vercel.app/api/v1/images/hxyTtWj.gif,"Step:1 Sit on a bench with your feet flat on the ground and a dumbbell in each hand, resting on your thighs. Step:2 Keep your back straight and core engaged. Step:3 Raise the dumbbells to your sides with a slight bend in your elbows, until your arms are parallel to the ground. Step:4 Pause for a moment at the top, then slowly lower the dumbbells back down to the starting position. Step:5 Repeat for the desired number of repetitions.",delts,shoulders,dumbbell,"traps, upper back"
hrrS0Ed,dumbbell seated lateral raise v. 2,https://cdn-exercisedb.vercel.app/api/v1/images/hrrS0Ed.gif,"Step:1 Sit on a bench with your feet flat on the ground and a dumbbell in each hand, resting on your thighs. Step:2 Keep your back straight and core engaged. Step:3 Raise the dumbbells to your sides with a slight bend in your elbows, until your arms are parallel to the ground. Step:4 Pause for a moment at the top, then slowly lower the dumbbells back down to the starting position. Step:5 Repeat for the desired number of repetitions.",delts,shoulders,dumbbell,"traps, triceps"
uJmK7Z1,dumbbell seated neutral wrist curl,https://cdn-exercisedb.vercel.app/api/v1/images/uJmK7Z1.gif,"Step:1 Sit on a bench with your feet flat on the ground and hold a dumbbell in each hand, palms facing each other. Step:2 Rest your forearms on your thighs, allowing the dumbbells to hang down. Step:3 Keeping your wrists in a neutral position, curl the dumbbells up towards your shoulders. Step:4 Pause for a moment at the top, then slowly lower the dumbbells back down to the starting position. Step:5 Repeat for the desired number of repetitions.",biceps,upper arms,dumbbell,forearms
84sESNy,dumbbell seated one arm bicep curl on exercise ball with leg raised,https://cdn-exercisedb.vercel.app/api/v1/images/84sESNy.gif,"Step:1 Sit on an exercise ball with your feet flat on the ground and your back straight. Step:2 Hold a dumbbell in one hand with your palm facing up and your arm fully extended. Step:3 Place your other hand on your hip for stability. Step:4 Slowly curl the dumbbell towards your shoulder, keeping your upper arm stationary. Step:5 Pause for a moment at the top of the movement, squeezing your bicep. Step:6 Slowly lower the dumbbell back to the starting position. Step:7 Repeat for the desired number of repetitions. Step:8 Switch arms and repeat the exercise.",biceps,upper arms,dumbbell,"forearms, shoulders"
VQ3sNCn,dumbbell seated one arm kickback,https://cdn-exercisedb.vercel.app/api/v1/images/VQ3sNCn.gif,"Step:1 Sit on a bench with your feet flat on the ground and hold a dumbbell in one hand. Step:2 Bend your torso forward at the waist, keeping your back straight and parallel to the ground. Step:3 Extend your arm straight back, keeping your elbow close to your body. Step:4 Pause for a moment at the top, then slowly lower the dumbbell back to the starting position. Step:5 Repeat for the desired number of repetitions, then switch arms.",triceps,upper arms,dumbbell,shoulders
7f2jsqP,dumbbell seated one arm rotate,https://cdn-exercisedb.vercel.app/api/v1/images/7f2jsqP.gif,"Step:1 Sit on a bench with your back straight and hold a dumbbell in one hand, resting it on your thigh. Step:2 Raise the dumbbell up to shoulder height, keeping your elbow close to your body. Step:3 Rotate your forearm outward, away from your body, while keeping your upper arm stationary. Step:4 Pause for a moment at the top, then slowly rotate your forearm back to the starting position. Step:5 Repeat for the desired number of repetitions, then switch to the other arm.",forearms,lower arms,dumbbell,"shoulders, biceps"
Ia7tumC,dumbbell seated one leg calf raise,https://cdn-exercisedb.vercel.app/api/v1/images/Ia7tumC.gif,"Step:1 Sit on a bench or chair with your feet flat on the ground and a dumbbell resting on your right thigh. Step:2 Extend your left leg straight out in front of you, keeping your foot flexed. Step:3 Place the ball of your right foot on an elevated surface, such as a step or weight plate. Step:4 Using your calf muscles, raise your right heel as high as possible. Step:5 Pause for a moment at the top, then slowly lower your heel back down to the starting position. Step:6 Repeat for the desired number of repetitions, then switch legs.",calves,lower legs,dumbbell,"hamstrings, glutes"
FxhcxUW,dumbbell seated one leg calf raise - hammer grip,https://cdn-exercisedb.vercel.app/api/v1/images/FxhcxUW.gif,"Step:1 Sit on a bench or chair with your feet flat on the ground and a dumbbell resting on your thighs. Step:2 Place one foot on a raised surface, such as a step or block, with your heel hanging off the edge. Step:3 Hold the dumbbell with a hammer grip, meaning your palms are facing each other and your fingers are wrapped around the handle. Step:4 Keeping your core engaged and your back straight, slowly raise your heel as high as possible by pushing through the ball of your foot. Step:5 Pause for a moment at the top, then slowly lower your heel back down to the starting position. Step:6 Repeat for the desired number of repetitions, then switch to the other leg.",calves,lower legs,dumbbell,"hamstrings, glutes"
VW88JNd,dumbbell seated one leg calf raise - palm up,https://cdn-exercisedb.vercel.app/api/v1/images/VW88JNd.gif,"Step:1 Sit on a bench or chair with your back straight and your feet flat on the ground. Step:2 Hold a dumbbell in one hand and place it on top of your thigh, palm facing up. Step:3 Lift one leg off the ground and extend it in front of you, keeping your knee slightly bent. Step:4 Raise your heel as high as possible by pushing through the ball of your foot. Step:5 Pause for a moment at the top, then slowly lower your heel back down. Step:6 Repeat for the desired number of repetitions, then switch legs and repeat.",calves,lower legs,dumbbell,"hamstrings, glutes"
2dImyQ8,dumbbell seated palms up wrist curl,https://cdn-exercisedb.vercel.app/api/v1/images/2dImyQ8.gif,"Step:1 Sit on a bench with your feet flat on the ground and hold a dumbbell in each hand, palms facing up. Step:2 Rest your forearms on your thighs, allowing your wrists to hang off the edge. Step:3 Slowly curl your wrists upward, squeezing your forearms at the top of the movement. Step:4 Pause for a moment, then lower your wrists back down to the starting position. Step:5 Repeat for the desired number of repetitions.",forearms,lower arms,dumbbell,"biceps, shoulders"
7D5bgLT,dumbbell seated preacher curl,https://cdn-exercisedb.vercel.app/api/v1/images/7D5bgLT.gif,"Step:1 Sit on a preacher curl bench with your feet flat on the floor. Step:2 Hold a dumbbell in one hand with an underhand grip, resting your upper arm against the preacher pad. Step:3 Keeping your upper arm stationary, exhale and curl the dumbbell up towards your shoulder. Step:4 Pause for a moment at the top, then inhale and slowly lower the dumbbell back down to the starting position. Step:5 Repeat for the desired number of repetitions, then switch arms.",biceps,upper arms,dumbbell,forearms
lyKCLmK,dumbbell seated revers grip concentration curl,https://cdn-exercisedb.vercel.app/api/v1/images/lyKCLmK.gif,"Step:1 Sit on a bench with your feet flat on the ground and hold a dumbbell in one hand, palm facing up. Step:2 Rest your elbow on the inside of your thigh, just above the knee. Step:3 Keeping your upper arm stationary, exhale and curl the dumbbell towards your shoulder. Step:4 Pause for a moment at the top, squeezing your biceps. Step:5 Inhale and slowly lower the dumbbell back to the starting position. Step:6 Repeat for the desired number of repetitions, then switch arms.",biceps,upper arms,dumbbell,forearms
5fKX7wi,dumbbell seated reverse grip one arm overhead tricep extension,https://cdn-exercisedb.vercel.app/api/v1/images/5fKX7wi.gif,"Step:1 Sit on a bench with your back straight and feet flat on the ground. Step:2 Hold a dumbbell with an underhand grip and extend your arm straight up overhead. Step:3 Lower the dumbbell behind your head by bending your elbow, keeping your upper arm stationary. Step:4 Pause for a moment, then extend your arm back up to the starting position. Step:5 Repeat for the desired number of repetitions, then switch arms.",triceps,upper arms,dumbbell,shoulders
znQUdHY,dumbbell seated shoulder press,https://cdn-exercisedb.vercel.app/api/v1/images/znQUdHY.gif,"Step:1 Sit on a bench with a dumbbell in each hand, resting on your thighs. Step:2 Raise the dumbbells to shoulder height, palms facing forward. Step:3 Press the dumbbells upward until your arms are fully extended overhead. Step:4 Pause for a moment at the top, then slowly lower the dumbbells back to shoulder height. Step:5 Repeat for the desired number of repetitions.",delts,shoulders,dumbbell,"triceps, upper back"
f1jf47L,dumbbell seated shoulder press (parallel grip),https://cdn-exercisedb.vercel.app/api/v1/images/f1jf47L.gif,"Step:1 Sit on a bench with a dumbbell in each hand, palms facing inward. Step:2 Raise the dumbbells to shoulder height, elbows bent and palms facing forward. Step:3 Press the dumbbells upward until your arms are fully extended overhead. Step:4 Pause for a moment at the top, then slowly lower the dumbbells back to shoulder height. Step:5 Repeat for the desired number of repetitions.",delts,shoulders,dumbbell,"triceps, upper back"
kont8Ut,dumbbell seated triceps extension,https://cdn-exercisedb.vercel.app/api/v1/images/kont8Ut.gif,"Step:1 Sit on a bench with your back straight and feet flat on the ground. Step:2 Hold a dumbbell with both hands and extend your arms straight up overhead. Step:3 Bend your elbows and lower the dumbbell behind your head, keeping your upper arms close to your ears. Step:4 Pause for a moment, then straighten your arms and return to the starting position. Step:5 Repeat for the desired number of repetitions.",triceps,upper arms,dumbbell,shoulders
NJzBsGJ,dumbbell shrug,https://cdn-exercisedb.vercel.app/api/v1/images/NJzBsGJ.gif,"Step:1 Stand with your feet shoulder-width apart and hold a dumbbell in each hand with your palms facing your body. Step:2 Keep your arms straight and let the dumbbells hang by your sides. Step:3 Raise your shoulders as high as possible, as if you are trying to touch your ears with your shoulders. Step:4 Hold the contraction for a second, then slowly lower your shoulders back down to the starting position. Step:5 Repeat for the desired number of repetitions.",traps,back,dumbbell,shoulders
IpONWYv,dumbbell side bend,https://cdn-exercisedb.vercel.app/api/v1/images/IpONWYv.gif,"Step:1 Stand up straight with your feet shoulder-width apart and hold a dumbbell in one hand, letting it hang down by your side. Step:2 Keeping your back straight and your core engaged, slowly bend sideways at the waist towards the opposite side of the dumbbell, lowering the weight as far as you comfortably can. Step:3 Pause for a moment, then slowly return to the starting position. Step:4 Repeat for the desired number of repetitions, then switch sides and repeat.",abs,waist,dumbbell,obliques
fTlkJop,dumbbell side lying one hand raise,https://cdn-exercisedb.vercel.app/api/v1/images/fTlkJop.gif,"Step:1 Lie on your side with your legs extended and your head supported by your arm. Step:2 Hold a dumbbell in your top hand with your palm facing down. Step:3 Keeping your arm straight, raise the dumbbell up to shoulder height. Step:4 Pause for a moment at the top, then slowly lower the dumbbell back down to the starting position. Step:5 Repeat for the desired number of repetitions, then switch sides.",delts,shoulders,dumbbell,"trapezius, rhomboids"
X6ytgYZ,dumbbell side plank with rear fly,https://cdn-exercisedb.vercel.app/api/v1/images/X6ytgYZ.gif,"Step:1 Start by lying on your side with your legs extended and stacked on top of each other. Step:2 Place your forearm on the ground directly below your shoulder, keeping your elbow bent at a 90-degree angle. Step:3 Hold a dumbbell in your top hand, with your arm extended straight down towards the ground. Step:4 Engage your core and lift your hips off the ground, creating a straight line from your head to your heels. Step:5 While maintaining the side plank position, lift the dumbbell up towards the ceiling, squeezing your shoulder blades together. Step:6 Lower the dumbbell back down to the starting position. Step:7 Repeat for the desired number of repetitions, then switch sides.",upper back,back,dumbbell,"shoulders, core"
mWBtgmb,dumbbell single arm overhead carry,https://cdn-exercisedb.vercel.app/api/v1/images/mWBtgmb.gif,"Step:1 Stand tall with your feet shoulder-width apart, holding a dumbbell in one hand. Step:2 Raise the dumbbell overhead, fully extending your arm. Step:3 Engage your core and keep your back straight as you walk forward, maintaining the dumbbell overhead. Step:4 Continue walking for the desired distance or time. Step:5 Switch hands and repeat the exercise.",delts,shoulders,dumbbell,"traps, core"
1kB3Wmk,dumbbell single leg calf raise,https://cdn-exercisedb.vercel.app/api/v1/images/1kB3Wmk.gif,"Step:1 Stand on the edge of a step or platform with your heels hanging off and your toes on the step. Step:2 Hold a dumbbell in one hand and place your other hand on a wall or railing for support. Step:3 Raise your heel as high as possible, lifting your body up onto your toes. Step:4 Pause for a moment at the top, then slowly lower your heel back down below the step. Step:5 Repeat for the desired number of repetitions, then switch to the other leg.",calves,lower legs,dumbbell,ankles
gKozT8X,dumbbell single leg deadlift,https://cdn-exercisedb.vercel.app/api/v1/images/gKozT8X.gif,"Step:1 Stand with your feet hip-width apart, holding a dumbbell in your right hand. Step:2 Shift your weight onto your left leg and lift your right foot slightly off the ground. Step:3 Keeping your back straight, hinge forward at the hips and lower the dumbbell towards the ground. Step:4 At the same time, extend your right leg straight behind you, maintaining a slight bend in your left knee. Step:5 Lower the dumbbell until your torso and right leg are parallel to the ground. Step:6 Pause for a moment, then engage your glutes and hamstrings to return to the starting position. Step:7 Repeat for the desired number of repetitions, then switch sides.",glutes,upper legs,dumbbell,"hamstrings, lower back"
daBmy1Y,dumbbell single leg deadlift with stepbox support,https://cdn-exercisedb.vercel.app/api/v1/images/daBmy1Y.gif,"Step:1 Stand with your feet hip-width apart, holding a dumbbell in your right hand. Step:2 Place your left foot on a stepbox or elevated surface behind you. Step:3 Keeping your back straight and core engaged, hinge forward at the hips, lowering the dumbbell towards the ground. Step:4 As you lower the dumbbell, simultaneously lift your left leg behind you, maintaining a straight line from head to heel. Step:5 Lower the dumbbell until you feel a stretch in your right hamstring, then return to the starting position. Step:6 Repeat for the desired number of repetitions, then switch sides.",glutes,upper legs,dumbbell,"hamstrings, lower back"
qx4fgX7,dumbbell single leg split squat,https://cdn-exercisedb.vercel.app/api/v1/images/qx4fgX7.gif,"Step:1 Stand with your feet shoulder-width apart, holding a dumbbell in each hand. Step:2 Take a step forward with one foot and position your feet so that your front foot is flat on the ground and your back foot is elevated on a bench or step. Step:3 Lower your body by bending your front knee and hip, keeping your back knee slightly bent and your back heel off the ground. Step:4 Continue lowering until your front thigh is parallel to the ground, then push through your front heel to return to the starting position. Step:5 Repeat for the desired number of repetitions, then switch legs and repeat.",quads,upper legs,dumbbell,"glutes, hamstrings, calves"
H6ybluc,dumbbell single leg squat,https://cdn-exercisedb.vercel.app/api/v1/images/H6ybluc.gif,"Step:1 Stand with your feet shoulder-width apart, holding a dumbbell in each hand. Step:2 Extend one leg forward and keep it off the ground throughout the exercise. Step:3 Bend your standing leg and lower your body down as if sitting back into a chair. Step:4 Keep your chest up and your back straight. Step:5 Pause for a moment at the bottom, then push through your heel to return to the starting position. Step:6 Repeat for the desired number of repetitions, then switch legs.",glutes,upper legs,dumbbell,"quadriceps, hamstrings, calves"
HsvHqgf,dumbbell squat,https://cdn-exercisedb.vercel.app/api/v1/images/HsvHqgf.gif,"Step:1 Stand with your feet shoulder-width apart, holding a dumbbell in each hand at your sides. Step:2 Keeping your chest up and core engaged, lower your body down by bending at the knees and hips, as if sitting back into a chair. Step:3 Continue lowering until your thighs are parallel to the ground, or as low as you can comfortably go. Step:4 Pause for a moment at the bottom, then push through your heels to return to the starting position. Step:5 Repeat for the desired number of repetitions.",glutes,upper legs,dumbbell,"quadriceps, hamstrings, calves"
LeaZOIz,dumbbell standing alternate hammer curl and press,https://cdn-exercisedb.vercel.app/api/v1/images/LeaZOIz.gif,"Step:1 Stand up straight with a dumbbell in each hand, palms facing your body. Step:2 Keep your elbows close to your torso and your back straight. Step:3 Exhale and curl the dumbbell in your right hand towards your shoulder, keeping your upper arm stationary. Step:4 Continue to raise the dumbbell until your biceps are fully contracted and the dumbbell is at shoulder level. Step:5 Inhale and slowly lower the dumbbell back to the starting position. Step:6 Repeat the curl with your left hand. Step:7 After completing the curl with your left hand, exhale and press the dumbbell in your right hand overhead. Step:8 Extend your arm fully and hold for a moment at the top. Step:9 Inhale and slowly lower the dumbbell back to the starting position. Step:10 Repeat the press with your left hand. Step:11 Continue alternating between curls and presses for the desired number of repetitions.",biceps,upper arms,dumbbell,"forearms, shoulders"
bBi35y3,dumbbell standing alternate overhead press,https://cdn-exercisedb.vercel.app/api/v1/images/bBi35y3.gif,"Step:1 Stand with your feet shoulder-width apart, holding a dumbbell in each hand at shoulder level with your palms facing forward. Step:2 Press one dumbbell overhead, fully extending your arm. Step:3 Lower the dumbbell back to shoulder level. Step:4 Repeat with the other arm. Step:5 Continue alternating arms for the desired number of repetitions.",delts,shoulders,dumbbell,"triceps, core"
SxHteRW,dumbbell standing alternate raise,https://cdn-exercisedb.vercel.app/api/v1/images/SxHteRW.gif,"Step:1 Stand with your feet shoulder-width apart, holding a dumbbell in each hand with your palms facing your body. Step:2 Keep your back straight and your core engaged. Step:3 Raise one dumbbell to the side, keeping your arm straight and your palm facing down. Step:4 Continue lifting until your arm is parallel to the ground. Step:5 Pause for a moment at the top, then slowly lower the dumbbell back to the starting position. Step:6 Repeat with the other arm. Step:7 Alternate between arms for the desired number of repetitions.",delts,shoulders,dumbbell,"traps, forearms"
Gi2BXfK,dumbbell standing alternating tricep kickback,https://cdn-exercisedb.vercel.app/api/v1/images/Gi2BXfK.gif,"Step:1 Stand with your feet shoulder-width apart, holding a dumbbell in each hand. Step:2 Bend your knees slightly and hinge forward at the hips, keeping your back straight. Step:3 Extend your arms straight back, keeping your elbows close to your body. Step:4 Pause for a moment at the top, then slowly lower the dumbbells back to the starting position. Step:5 Repeat with the other arm, alternating sides with each repetition.",triceps,upper arms,dumbbell,shoulders
RSOsp5d,dumbbell standing around world,https://cdn-exercisedb.vercel.app/api/v1/images/RSOsp5d.gif,"Step:1 Stand with your feet shoulder-width apart and hold a dumbbell in each hand. Step:2 Extend your arms straight out to the sides at shoulder height, palms facing down. Step:3 Keeping your arms straight, slowly rotate your arms in a circular motion, bringing the dumbbells in front of your body and then overhead. Step:4 Continue the circular motion, bringing the dumbbells back down to the starting position. Step:5 Repeat for the desired number of repetitions.",delts,shoulders,dumbbell,"triceps, forearms"
CJwa0vD,dumbbell standing bent over one arm triceps extension,https://cdn-exercisedb.vercel.app/api/v1/images/CJwa0vD.gif,"Step:1 Stand with your feet shoulder-width apart and hold a dumbbell in one hand. Step:2 Bend forward at the waist, keeping your back straight and parallel to the ground. Step:3 Extend your arm straight back, keeping your elbow close to your body. Step:4 Slowly lower the dumbbell back to the starting position. Step:5 Repeat for the desired number of repetitions, then switch arms.",triceps,upper arms,dumbbell,"shoulders, back"
3T12T87,dumbbell standing bent over two arm triceps extension,https://cdn-exercisedb.vercel.app/api/v1/images/3T12T87.gif,"Step:1 Stand with your feet shoulder-width apart and hold a dumbbell in each hand. Step:2 Bend forward at the waist, keeping your back straight and your knees slightly bent. Step:3 Extend your arms straight back, keeping your elbows close to your body. Step:4 Slowly lower the dumbbells back down to the starting position. Step:5 Repeat for the desired number of repetitions.",triceps,upper arms,dumbbell,"shoulders, back"
3s4NnTh,dumbbell standing biceps curl,https://cdn-exercisedb.vercel.app/api/v1/images/3s4NnTh.gif,"Step:1 Stand up straight with a dumbbell in each hand, palms facing forward and arms fully extended. Step:2 Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. Step:3 Continue to raise the dumbbells until your biceps are fully contracted and the dumbbells are at shoulder level. Step:4 Hold the contracted position for a brief pause as you squeeze your biceps. Step:5 Inhale and slowly begin to lower the dumbbells back to the starting position. Step:6 Repeat for the desired number of repetitions.",biceps,upper arms,dumbbell,forearms
dPmaUaU,dumbbell standing calf raise,https://cdn-exercisedb.vercel.app/api/v1/images/dPmaUaU.gif,"Step:1 Stand with your feet shoulder-width apart, holding a dumbbell in each hand. Step:2 Raise your heels off the ground as high as possible, using your calves. Step:3 Pause for a moment at the top, then slowly lower your heels back down to the starting position. Step:4 Repeat for the desired number of repetitions.",calves,lower legs,dumbbell,ankles
7inpWch,dumbbell standing concentration curl,https://cdn-exercisedb.vercel.app/api/v1/images/7inpWch.gif,"Step:1 Stand with your feet shoulder-width apart and hold a dumbbell in one hand, with your arm fully extended and palm facing inwards. Step:2 Place your opposite hand on your thigh for support. Step:3 Keeping your upper arm stationary, exhale and curl the dumbbell towards your shoulder by contracting your biceps. Step:4 Continue to raise the dumbbell until your biceps are fully contracted and the dumbbell is at shoulder level. Step:5 Hold the contracted position for a brief pause as you squeeze your biceps. Step:6 Inhale and slowly lower the dumbbell back to the starting position. Step:7 Repeat for the desired number of repetitions, then switch arms.",biceps,upper arms,dumbbell,forearms
laVRfDf,dumbbell standing front raise above head,https://cdn-exercisedb.vercel.app/api/v1/images/laVRfDf.gif,"Step:1 Stand with your feet shoulder-width apart, holding a dumbbell in each hand with an overhand grip. Step:2 Keep your arms straight and lift the dumbbells in front of you, raising them above your head. Step:3 Pause for a moment at the top, then slowly lower the dumbbells back to the starting position. Step:4 Repeat for the desired number of repetitions.",delts,shoulders,dumbbell,"trapezius, biceps"
vKilzz3,dumbbell standing inner biceps curl v. 2,https://cdn-exercisedb.vercel.app/api/v1/images/vKilzz3.gif,"Step:1 Stand up straight with a dumbbell in each hand, palms facing your torso. Step:2 Keep your elbows close to your torso and rotate the palms of your hands until they are facing forward. Step:3 While holding your upper arms stationary, curl the weights while contracting your biceps. Step:4 Continue to raise the weights until your biceps are fully contracted and the dumbbells are at shoulder level. Step:5 Hold the contracted position for a brief pause as you squeeze your biceps. Step:6 Slowly begin to bring the dumbbells back to the starting position as your breathe in. Step:7 Repeat for the recommended amount of repetitions.",biceps,upper arms,dumbbell,forearms
UmpPAAe,dumbbell standing kickback,https://cdn-exercisedb.vercel.app/api/v1/images/UmpPAAe.gif,"Step:1 Stand with your feet shoulder-width apart and hold a dumbbell in each hand. Step:2 Bend your knees slightly and hinge forward at the hips, keeping your back straight. Step:3 Extend your arms straight back, squeezing your triceps at the top of the movement. Step:4 Pause for a moment, then slowly lower the dumbbells back to the starting position. Step:5 Repeat for the desired number of repetitions.",triceps,upper arms,dumbbell,shoulders
8fgqP5a,dumbbell standing one arm concentration curl,https://cdn-exercisedb.vercel.app/api/v1/images/8fgqP5a.gif,"Step:1 Stand up straight with your feet shoulder-width apart and hold a dumbbell in one hand, palm facing up. Step:2 Place your free hand on your thigh for support. Step:3 Keeping your upper arm stationary, exhale and curl the dumbbell towards your shoulder by contracting your biceps. Step:4 Continue to raise the dumbbell until your biceps are fully contracted and the dumbbell is at shoulder level. Step:5 Hold the contracted position for a brief pause as you squeeze your biceps. Step:6 Inhale and slowly lower the dumbbell back to the starting position. Step:7 Repeat for the desired number of repetitions, then switch arms.",biceps,upper arms,dumbbell,forearms
BIb1tGo,dumbbell standing one arm curl (over incline bench),https://cdn-exercisedb.vercel.app/api/v1/images/BIb1tGo.gif,"Step:1 Stand with your feet shoulder-width apart, holding a dumbbell in one hand with your palm facing forward. Step:2 Place your other hand on an incline bench for support. Step:3 Keeping your upper arm stationary, exhale and curl the dumbbell towards your shoulder by contracting your biceps. Step:4 Pause for a moment at the top, then inhale and slowly lower the dumbbell back to the starting position. Step:5 Repeat for the desired number of repetitions, then switch arms.",biceps,upper arms,dumbbell,forearms
EmlJR2y,dumbbell standing one arm curl over incline bench,https://cdn-exercisedb.vercel.app/api/v1/images/EmlJR2y.gif,"Step:1 Stand with your feet shoulder-width apart, holding a dumbbell in one hand. Step:2 Place your other hand on an incline bench for support. Step:3 Keeping your upper arm stationary, curl the dumbbell towards your shoulder by contracting your biceps. Step:4 Pause for a moment at the top, then slowly lower the dumbbell back to the starting position. Step:5 Repeat for the desired number of repetitions, then switch arms.",biceps,upper arms,dumbbell,forearms
BCUR88E,dumbbell standing one arm extension,https://cdn-exercisedb.vercel.app/api/v1/images/BCUR88E.gif,"Step:1 Stand with your feet shoulder-width apart, holding a dumbbell in one hand. Step:2 Raise the dumbbell overhead, fully extending your arm. Step:3 Keep your upper arm close to your head and perpendicular to the ground. Step:4 Slowly lower the dumbbell behind your head, bending your elbow. Step:5 Pause for a moment, then raise the dumbbell back to the starting position. Step:6 Repeat for the desired number of repetitions.",triceps,upper arms,dumbbell,shoulders
ocYc6Db,dumbbell standing one arm palm in press,https://cdn-exercisedb.vercel.app/api/v1/images/ocYc6Db.gif,"Step:1 Stand with your feet shoulder-width apart, holding a dumbbell in one hand at shoulder height with your palm facing inwards. Step:2 Engage your core and keep your back straight. Step:3 Press the dumbbell upwards until your arm is fully extended. Step:4 Pause for a moment at the top, then slowly lower the dumbbell back to the starting position. Step:5 Repeat for the desired number of repetitions, then switch to the other arm.",delts,shoulders,dumbbell,"triceps, core"
DU5Kkj2,dumbbell standing one arm reverse curl,https://cdn-exercisedb.vercel.app/api/v1/images/DU5Kkj2.gif,"Step:1 Stand up straight with your feet shoulder-width apart and hold a dumbbell in one hand with an overhand grip. Step:2 Keep your arm fully extended and close to your body, with your palm facing down. Step:3 Slowly curl the dumbbell up towards your shoulder, keeping your upper arm stationary. Step:4 Pause for a moment at the top, then slowly lower the dumbbell back down to the starting position. Step:5 Repeat for the desired number of repetitions, then switch to the other arm.",biceps,upper arms,dumbbell,forearms
A6wtbuL,dumbbell standing overhead press,https://cdn-exercisedb.vercel.app/api/v1/images/A6wtbuL.gif,"Step:1 Stand with your feet shoulder-width apart, holding a dumbbell in each hand at shoulder level with your palms facing forward. Step:2 Press the dumbbells upward until your arms are fully extended overhead. Step:3 Pause for a moment at the top, then slowly lower the dumbbells back down to shoulder level. Step:4 Repeat for the desired number of repetitions.",delts,shoulders,dumbbell,"triceps, upper back"
UilDHSs,dumbbell standing palms in press,https://cdn-exercisedb.vercel.app/api/v1/images/UilDHSs.gif,"Step:1 Stand with your feet shoulder-width apart, holding a dumbbell in each hand at shoulder level with your palms facing inwards. Step:2 Keeping your core engaged and your back straight, press the dumbbells upwards until your arms are fully extended overhead. Step:3 Pause for a moment at the top, then slowly lower the dumbbells back to the starting position. Step:4 Repeat for the desired number of repetitions.",delts,shoulders,dumbbell,"triceps, chest"
hq2hyDH,dumbbell standing preacher curl,https://cdn-exercisedb.vercel.app/api/v1/images/hq2hyDH.gif,"Step:1 Stand upright with your feet shoulder-width apart and hold a dumbbell in each hand, palms facing forward. Step:2 Rest the back of your upper arms against the preacher bench or an incline bench, with your elbows slightly bent. Step:3 Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. Step:4 Continue to raise the dumbbells until your biceps are fully contracted and the dumbbells are at shoulder level. Step:5 Hold the contracted position for a brief pause as you squeeze your biceps. Step:6 Inhale and slowly begin to lower the dumbbells back to the starting position. Step:7 Repeat for the desired number of repetitions.",biceps,upper arms,dumbbell,forearms
0IgNjSM,dumbbell standing reverse curl,https://cdn-exercisedb.vercel.app/api/v1/images/0IgNjSM.gif,"Step:1 Stand up straight with your feet shoulder-width apart and hold a dumbbell in each hand, palms facing your body. Step:2 Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. Continue to raise the weights until your biceps are fully contracted and the dumbbells are at shoulder level. Step:3 Hold the contracted position for a brief pause as you squeeze your biceps. Step:4 Inhale and slowly begin to lower the dumbbells back to the starting position. Step:5 Repeat for the desired number of repetitions.",biceps,upper arms,dumbbell,forearms
PdmaD0N,dumbbell standing triceps extension,https://cdn-exercisedb.vercel.app/api/v1/images/PdmaD0N.gif,"Step:1 Stand with your feet shoulder-width apart and hold a dumbbell in one hand. Step:2 Raise the dumbbell overhead, keeping your arm straight. Step:3 Bend your elbow and lower the dumbbell behind your head, keeping your upper arm stationary. Step:4 Extend your arm back up to the starting position. Step:5 Repeat for the desired number of repetitions.",triceps,upper arms,dumbbell,shoulders
P2nRiUa,dumbbell standing zottman preacher curl,https://cdn-exercisedb.vercel.app/api/v1/images/P2nRiUa.gif,"Step:1 Stand up straight with a dumbbell in each hand, palms facing forward. Step:2 Place your upper arms against the preacher bench and keep your elbows slightly bent. Step:3 Curl the dumbbells up towards your shoulders while keeping your upper arms stationary. Step:4 At the top of the movement, rotate your wrists so that your palms are facing downward. Step:5 Slowly lower the dumbbells back to the starting position, rotating your wrists back to the starting position as well. Step:6 Repeat for the desired number of repetitions.",biceps,upper arms,dumbbell,forearms
76vfTdU,dumbbell step up single leg balance with bicep curl,https://cdn-exercisedb.vercel.app/api/v1/images/76vfTdU.gif,"Step:1 Stand in front of a step or platform with a dumbbell in each hand, palms facing your body. Step:2 Place your right foot on the step, ensuring your entire foot is in contact with the surface. Step:3 Engage your core and push through your right heel to lift your body up onto the step, bringing your left knee up towards your chest. Step:4 At the top of the movement, perform a bicep curl by bending your elbows and bringing the dumbbells towards your shoulders. Step:5 Lower the dumbbells back down and simultaneously lower your left foot back to the ground. Step:6 Repeat the movement on the opposite side, stepping up with your left foot and curling the dumbbells. Step:7 Continue alternating sides for the desired number of repetitions.",biceps,upper arms,dumbbell,"quadriceps, glutes, hamstrings"
